paper_id,covidence_id,title,heuristic_source_category,heuristic_source_subtype,heuristic_confidence,final_source_category,final_source_subtype,review_decision_notes,review_batch,reviewed_at_utc,pdf_content_alignment_tag
17,17,Muscle spasms and stiffness that progressed for four years.,unclear_manual_review,unclear,low,single_case_report,case_report,Interlibrary-loan scan but content is a single patient vignette/case note.,batch_01_10,2026-03-03T00:00:00Z,appears_matched
25,25,Identification of a dominant epitope of glutamic acid decarboxylase (GAD-65) recognized by autoantibodies in stiff-man syndrome.,lab_heavy_clinical_or_translational,group_or_frequency_focused_lab_clinical_study,low,lab_heavy_clinical_or_translational,group_or_frequency_focused_lab_clinical_study,Humoral epitope profiling across SMS sera; clinically relevant but not a case-level source.,batch_01_10,2026-03-03T00:00:00Z,appears_matched
39,39,Heterogeneity of autoantibodies in stiff-man syndrome.,conference_abstract,single_case_conference_abstract,low,lab_heavy_clinical_or_translational,group_or_frequency_focused_lab_clinical_study,Primary clinical-immunology cohort comparing autoantibodies across SMS and neurologic controls.,batch_01_10,2026-03-03T00:00:00Z,appears_matched
43,43,"Higher autoantibody levels and recognition of a linear NH2-terminal epitope in the autoantigen GAD65, distinguish stiff-man syndrome from insulin-dependent diabetes mellitus.",lab_heavy_clinical_or_translational,group_or_frequency_focused_lab_clinical_study,low,lab_heavy_clinical_or_translational,group_or_frequency_focused_lab_clinical_study,Large antibody-response profiling paper; translational immunology rather than case-level clinical reporting.,batch_01_10,2026-03-03T00:00:00Z,appears_matched
108,108,"Total alopecia, diabetes mellitus, and falls.",unclear_manual_review,unclear,low,single_case_report,case_report,Lancet case vignette describing a 56-year-old woman with SPS-linked autoimmune disease.,batch_01_10,2026-03-03T00:00:00Z,appears_matched
139,139,Stiff-man syndrome in a woman with breast cancer: an uncommon central nervous system paraneoplastic syndrome.,case_series_or_multi_case,case_series,low,single_case_report,case_report,Single paraneoplastic case report with one woman and longitudinal response after surgery/steroids.,batch_01_10,2026-03-03T00:00:00Z,appears_matched
154,154,"Atypical stiff-person syndrome with spinal MRI findings, amphiphysin autoantibodies, and immunosuppression.",unclear_manual_review,unclear,low,single_case_report,case_report,Single atypical SPS patient with MRI lesion and treatment response.,batch_01_10,2026-03-03T00:00:00Z,appears_matched
166,166,Stiffman syndrome.,unclear_manual_review,unclear,low,single_case_report,case_report,Pediatric case report of one 7-year-old boy responding to diazepam.,batch_01_10,2026-03-03T00:00:00Z,appears_matched
175,175,GAD65-Reactive T cells in a non-diabetic stiff-man syndrome patient.,lab_heavy_clinical_or_translational,group_or_frequency_focused_lab_clinical_study,low,lab_heavy_clinical_or_translational,group_or_frequency_focused_lab_clinical_study,Cellular autoimmunity paper centered on T-cell assays; clinically relevant but not suitable for case-level extraction.,batch_01_10,2026-03-03T00:00:00Z,appears_matched
238,238,Humoral and cellular autoimmune responses in stiff person syndrome.,lab_heavy_clinical_or_translational,group_or_frequency_focused_lab_clinical_study,low,review_article,review_or_synthesis,Summary/synthesis style discussion of prior humoral and cellular immune findings rather than a new case-level dataset.,batch_01_10,2026-03-03T00:00:00Z,appears_matched
243,243,Rhabdomyolysis and paraneoplastic stiff-man syndrome with amphiphysin autoimmunity.,unclear_manual_review,unclear,low,single_case_report,case_report,Single paraneoplastic SPS case with rhabdomyolysis and treatment response.,batch_02_10,2026-03-03T00:00:00Z,appears_matched
264,264,Hyperekplexia and stiff-man syndrome: abnormal brainstem reflexes suggest a physiological relationship.,unclear_manual_review,unclear,low,observational_group_study,physiology_group_study,Group neurophysiology study spanning multiple hyperekplexia and SMS patients plus controls.,batch_02_10,2026-03-03T00:00:00Z,appears_matched
266,266,Stiff-person syndrome: a rare presentation for breast cancer.,unclear_manual_review,unclear,low,single_case_report,case_report,Letter describing one 71-year-old woman with paraneoplastic SPS from breast cancer.,batch_02_10,2026-03-03T00:00:00Z,appears_matched
387,387,Stiffman syndrome: a rare paraneoplastic disorder?.,unclear_manual_review,unclear,low,single_case_report,case_report,Short report of one unusual paraneoplastic stiffman syndrome case.,batch_02_10,2026-03-03T00:00:00Z,appears_matched
391,391,Sudden death and paroxysmal autonomic dysfunction in stiff-man syndrome.,unclear_manual_review,unclear,low,case_series_or_multi_case,small_case_series,Two-patient clinical-pathologic series with parallel autonomic dysfunction and sudden death.,batch_02_10,2026-03-03T00:00:00Z,appears_matched
422,422,Anaesthesia for stiff person syndrome: successful use of total intravenous anaesthesia.,unclear_manual_review,unclear,low,single_case_report,case_report,Anesthesia case note for one 74-year-old male with SPS.,batch_02_10,2026-03-03T00:00:00Z,appears_matched
423,423,Thymectomy for paraneoplastic stiff-person syndrome associated with invasive thymoma.,unclear_manual_review,unclear,low,single_case_report,case_report,Clinical summary of one woman with SPS associated with invasive thymoma treated surgically.,batch_02_10,2026-03-03T00:00:00Z,appears_matched
437,437,"Response to steroid treatment in anti-glutamic acid decarboxylase antibody-associated cerebellar ataxia, stiff person syndrome and polyendocrinopathy.",unclear_manual_review,unclear,low,single_case_report,case_report,Letter describing one patient with multi-system autoimmune disease and steroid response.,batch_02_10,2026-03-03T00:00:00Z,appears_matched
8182,8182,Neurological syndromes associated with glutamic acid decarboxylase antibodies: A Brazilian series,conference_abstract,group_conference_abstract,high,unclear_manual_review,incorrect_reference,"Incorrect reference for current local extraction: the proceedings text and published stage-06 reasoning are tied to the wrong abstract. Exclude this paper until the correct PDF/abstract is recovered, then rerun from scratch.",batch_stage06_reference_audit,2026-04-20T00:00:00Z,incorrect_reference
1841,1841,Stiff person syndrome: A case report,unclear_manual_review,unclear,high,conference_abstract,single_case_conference_abstract,Corrected source: lossless page-463 extract of the EAN 2020 ePoster supplement (DOI 10.1111/ene.14308) contains abstract EPO2354 with exact title and authors. Previous PDF resolved to an unrelated article via DOI 10.1111/ene.14189.,paper_1841_source_correction,2026-08-28T00:00:00Z,appears_matched
