paper_id,resolved_source_category,resolved_source_subtype,resolved_source_route_source,source_text_json_path,split_text_json_path,used_trimmed_text,split_status,split_reason,split_method,case_count,case_labels,start_page_indices,end_page_indices,manual_review_required,split_at_utc
10,case_series_or_multi_case,case_series,heuristic,data\extraction_json\text\10.json,data\extraction_json\text_case_series_split\10.json,false,split_auto,Explicit case/patient headings supported a stable case-level split.,explicit_case_heading_segmentation,2,PATIENT 1 | PATIENT 2,1 | 2,2 | 8,false,2026-03-05T05:20:11.269971+00:00
1011,case_series_or_multi_case,case_series,heuristic,data\extraction_json\text\1011.json,,false,manual_review_required,Could not find at least two distinct explicit case/patient headings.,,0,,,,true,
1097,case_series_or_multi_case,case_series,heuristic,data\extraction_json\text\1097.json,data\extraction_json\text_case_series_split\1097.json,false,split_auto,Explicit case/patient headings supported a stable case-level split.,explicit_case_heading_segmentation,2,Case 1 | Case 2,0 | 0,0 | 2,false,2026-03-05T05:20:11.277511+00:00
113,case_series_or_multi_case,case_series,heuristic,data\extraction_json\text\113.json,data\extraction_json\text_case_series_split\113.json,false,split_auto,Explicit case/patient headings supported a stable case-level split.,explicit_case_heading_segmentation,2,Case 1 | Case 2,0 | 1,1 | 3,false,2026-03-05T05:20:11.283634+00:00
11318,case_series_or_multi_case,case_series,heuristic,data\extraction_json\text\11318.json,data\extraction_json\text_case_series_split\11318.json,false,split_auto,Explicit case/patient headings supported a stable case-level split.,explicit_case_heading_segmentation,2,Case 1 | Case 2,0 | 5,5 | 15,false,2026-03-05T05:20:11.292643+00:00
1133,case_series_or_multi_case,case_series,heuristic,data\extraction_json\text\1133.json,,false,manual_review_required,"Case headings do not begin with the first case, so the leading case block is not safely isolated.",,0,,,,true,
114,case_series_or_multi_case,case_series,heuristic,data\extraction_json\text\114.json,,false,manual_review_required,Could not find at least two distinct explicit case/patient headings.,,0,,,,true,
11810,case_series_or_multi_case,case_series,heuristic,data\extraction_json\text\11810.json,,false,manual_review_required,Could not find at least two distinct explicit case/patient headings.,,0,,,,true,
11935,case_series_or_multi_case,small_case_series,manual_review,data\extraction_json\text\11935.json,,false,manual_review_required,Could not find at least two distinct explicit case/patient headings.,,0,,,,true,
11939,case_series_or_multi_case,case_series,heuristic,data\extraction_json\text\11939.json,,false,manual_review_required,Could not find at least two distinct explicit case/patient headings.,,0,,,,true,
11966,case_series_or_multi_case,small_case_series,manual_review,data\extraction_json\text\11966.json,data\extraction_json\text_case_series_split\11966.json,false,split_auto,Explicit case/patient headings supported a stable case-level split.,explicit_case_heading_segmentation,2,patient 1 | patient 2,6 | 6,6 | 7,false,2026-03-05T05:20:11.316013+00:00
11971,case_series_or_multi_case,case_series,heuristic,data\extraction_json\text\11971.json,data\extraction_json\text_case_series_split\11971.json,false,split_auto,Explicit case/patient headings supported a stable case-level split.,explicit_case_heading_segmentation,7,Case 1 | Case 2 | Case 3 | Case 4 | Case 5 | Case 6 | Case 7,1 | 1 | 1 | 3 | 3 | 3 | 4,1 | 1 | 3 | 3 | 3 | 4 | 7,false,2026-03-05T05:20:11.324578+00:00
11988,case_series_or_multi_case,case_series,heuristic,data\extraction_json\text\11988.json,,false,manual_review_required,Could not find at least two distinct explicit case/patient headings.,,0,,,,true,
12031,case_series_or_multi_case,case_series,heuristic,data\extraction_json\text\12031.json,,false,manual_review_required,Could not find at least two distinct explicit case/patient headings.,,0,,,,true,
1215,case_series_or_multi_case,case_series,heuristic,data\extraction_json\text\1215.json,,false,manual_review_required,"Case headings do not begin with the first case, so the leading case block is not safely isolated.",,0,,,,true,
1216,case_series_or_multi_case,case_series,heuristic,data\extraction_json\text\1216.json,,false,manual_review_required,Could not find at least two distinct explicit case/patient headings.,,0,,,,true,
1220,case_series_or_multi_case,case_series,heuristic,data\extraction_json\text\1220.json,,false,manual_review_required,Could not find at least two distinct explicit case/patient headings.,,0,,,,true,
12437,case_series_or_multi_case,case_series,heuristic,data\extraction_json\text\12437.json,data\extraction_json\text_case_series_split\12437.json,false,split_auto,Explicit case/patient headings supported a stable case-level split.,explicit_case_heading_segmentation,4,Case 1 | Case 2 | Case 3 | Case 4,0 | 0 | 0 | 0,0 | 0 | 0 | 2,false,2026-03-05T05:20:11.344032+00:00
12457,case_series_or_multi_case,case_series,heuristic,data\extraction_json\text\12457.json,,false,manual_review_required,"Case headings do not begin with the first case, so the leading case block is not safely isolated.",,0,,,,true,
126,case_series_or_multi_case,case_series,heuristic,data\extraction_json\text\126.json,,false,manual_review_required,Could not find at least two distinct explicit case/patient headings.,,0,,,,true,
12630,case_series_or_multi_case,case_series,heuristic,data\extraction_json\text\12630.json,,false,manual_review_required,Could not find at least two distinct explicit case/patient headings.,,0,,,,true,
