source_scope_id,source_scope_label,paper_id,title,predicted_count,predicted_original_cohort_provenance_uncertain,predicted_verification_status,prediction_correct,reviewed_count,reviewed_original_cohort_provenance_uncertain,review_status,reviewer_notes,reviewer_id,reviewed_at_utc,updated_at_utc
stage06_backfill_b002_n50_20260418,stage06_backfill_b002_n50_20260418,39,Heterogeneity of autoantibodies in stiff-man syndrome.,13,true,llm_semantic_conflict_manual_review_required,true,13,false,reviewed,The competing counts are 13 from the interview and psychologic-testing cohort and 39 from the larger diagnosed/referral pool. The extractable SPS-spectrum count is 13 because only 13 patients were actually studied in this paper.,user_manual_adjudication,2026-04-18T12:07:02Z,2026-04-18T12:07:02Z
stage06_backfill_b002_n50_20260418,stage06_backfill_b002_n50_20260418,43,"Higher autoantibody levels and recognition of a linear NH2-terminal epitope in the autoantigen GAD65, distinguish stiff-man syndrome from insulin-dependent diabetes mellitus.",35,true,llm_bounded_alternative,false,33,false,reviewed,"The extracted counts are 35 from the abstract total, 33 from Methods (`Sera were obtained with informed consent from 33 SMS patients identified ...`), and 9 from the HLA-haplotyped subgroup. The extractable SPS-spectrum count is 33 because the methods cohort is the main diagnosed sample counted under standard criteria.",user_manual_adjudication,2026-04-18T12:07:02Z,2026-04-18T12:07:02Z
stage06_backfill_b002_n50_20260418,stage06_backfill_b002_n50_20260418,92,Antiamphiphysin antibodies with small-cell lung carcinoma and paraneoplastic encephalomyelitis.,2,true,llm_manual_review_required,false,1,false,reviewed,"The paper reports 3 paraneoplastic encephalomyelitis patients, but only patient 3 is clearly tied to rigidity and the SPS-spectrum signal. The safest extractable SPS-spectrum count is therefore 1.",user_manual_adjudication,2026-04-18T12:07:02Z,2026-04-18T12:07:02Z
stage06_backfill_b002_n50_20260418,stage06_backfill_b002_n50_20260418,102,The insulin-dependent diabetes mellitus-associated ICA 105 autoantigen in stiff-man syndrome patients.,11,true,llm_candidate_exact,true,11,false,reviewed,The competing numbers are 11 patients and 105. The extractable SPS-spectrum count is 11 because 105 is the ICA 105 autoantigen name rather than a patient denominator.,user_manual_adjudication,2026-04-18T12:07:02Z,2026-04-18T12:07:02Z
stage06_backfill_b002_n50_20260418,stage06_backfill_b002_n50_20260418,140,Stiff-leg syndrome: a focal form of stiff-man syndrome.,2,false,llm_candidate_exact,true,2,false,reviewed,"The competing counts are 2 and 4. The extractable SPS-spectrum count is 2 because this paper reports two original stiff-leg syndrome patients, while 4 refers to previously published literature cases in the introduction.",user_manual_adjudication,2026-04-18T12:07:02Z,2026-04-18T12:07:02Z
stage06_backfill_b002_n50_20260418,stage06_backfill_b002_n50_20260418,146,Stiff-man syndrome. Results of interviews and psychologic testing.,13,false,llm_semantic_conflict_manual_review_required,true,13,false,reviewed,"The competing counts are 13 and 39. The extractable SPS-spectrum count is 13 because the paper reports interviews and psychologic testing on 13 studied patients, whereas 39 is the broader diagnosed pool from which they were drawn.",user_manual_adjudication,2026-04-18T12:07:02Z,2026-04-18T12:07:02Z
stage06_backfill_b002_n50_20260418,stage06_backfill_b002_n50_20260418,180,Paraneoplastic stiff limb syndrome.,8,true,llm_manual_review_required,false,1,false,reviewed,This is a single-patient paraneoplastic stiff-limb case report. The correct extractable SPS-spectrum count is 1; the earlier 8 came from unrelated stitched-issue text rather than the article itself.,user_manual_adjudication,2026-04-18T12:07:02Z,2026-04-18T12:07:02Z
stage06_backfill_b002_n50_20260418,stage06_backfill_b002_n50_20260418,191,Motor evoked potentials in a case of stiff-man syndrome: a longitudinal study.,1,true,llm_candidate_exact,true,1,false,reviewed,The competing numbers are 1 and 135. The extractable SPS-spectrum count is 1 because this is a longitudinal single-case report; 135 is a page or table artefact from the PDF text layer.,user_manual_adjudication,2026-04-18T12:07:02Z,2026-04-18T12:07:02Z
stage06_backfill_b002_n50_20260418,stage06_backfill_b002_n50_20260418,219,Quality of life in stiff-person syndrome.,24,true,llm_candidate_exact,true,24,false,reviewed,The extractable SPS-spectrum count is 24 because the quality-of-life analysis is reported on 24 SPS patients who completed the study assessments. Smaller numbers in the paper refer to narrower subgroups or previously published overlap.,user_manual_adjudication,2026-04-18T12:07:02Z,2026-04-18T12:07:02Z
stage06_backfill_b002_n50_20260418,stage06_backfill_b002_n50_20260418,224,Specific phobia is a frequent non-motor feature in stiff man syndrome.,43,false,llm_semantic_conflict_manual_review_required,true,43,false,reviewed,"The competing counts are 43 and 7. The extractable SPS-spectrum count is 43 because the paper investigates 43 consecutive stiff-man-spectrum patients overall, while 7 is only the PERM subgroup row in the table.",user_manual_adjudication,2026-04-18T12:07:02Z,2026-04-18T12:07:02Z
stage06_backfill_b001_n50_20260418,stage06_backfill_b001_n50_20260418,238,Humoral and cellular autoimmune responses in stiff person syndrome.,0,true,llm_manual_review_required,false,14,false,reviewed,"Competing counts were extracted for this paper: 14 and 8. The likelier extractable cohort is 14, because the 8 appears to be a narrower analysed subgroup rather than the full original SPS cohort described by the paper.",user_manual_adjudication,2026-04-18T10:27:53Z,2026-04-18T10:27:53Z
stage06_backfill_b001_n50_20260418,stage06_backfill_b001_n50_20260418,239,Clinically disparate stiff-person syndrome with GAD65 autoantibody in a father and daughter.,2,false,llm_bounded_alternative,true,2,false,reviewed,"The competing numbers here were 2 and 5. The likelier count is 2, because the paper is a father-and-daughter SPS report, while 5 comes from unrelated antibody-positive/thyroid-antibody text rather than the original SPS cohort.",user_manual_adjudication,2026-04-18T10:27:53Z,2026-04-18T10:27:53Z
stage06_backfill_b001_n50_20260418,stage06_backfill_b001_n50_20260418,252,The spectrum of antineuronal autoantibodies in a series of neurological patients.,0,false,llm_manual_review_required,false,18,false,reviewed,"The paper surfaces at least two SPS-related counts: 18 in Table 1 ('Stiff-Person syndrome 18' under 'Groups of patients / No. of cases') and 2 in Table 2 ('Stiff-Person syndrome 2 anti-GAD 6'). The likelier extractable cohort is 18, because Table 1 is the full cohort breakdown, whereas Table 2 only reports the anti-neuronal-antibody-positive subset.",user_manual_adjudication,2026-04-18T10:27:53Z,2026-04-18T10:27:53Z
stage06_backfill_b001_n50_20260418,stage06_backfill_b001_n50_20260418,264,Hyperekplexia and stiff-man syndrome: abnormal brainstem reflexes suggest a physiological relationship.,10,false,llm_semantic_conflict_manual_review_required,true,10,false,reviewed,"The extracted cohort numbers are 5 familial hyperekplexia, 2 acquired hyperekplexia, 10 SMS patients, and 15 healthy controls. The likelier SPS-spectrum count is 10; the previous manual-review state came from over-cautious mixed-cohort/control handling rather than a real numeric ambiguity.",user_manual_adjudication,2026-04-18T10:27:53Z,2026-04-18T10:27:53Z
stage06_backfill_b001_n50_20260418,stage06_backfill_b001_n50_20260418,288,Brain gamma-aminobutyric acid changes in stiff-person syndrome.,8,false,llm_semantic_conflict_manual_review_required,true,8,false,reviewed,"The competing counts are 8 SPS patients and 16 control subjects. The likelier SPS-spectrum count is 8, because 16 is the control denominator in this case-control study rather than an SPS cohort size.",user_manual_adjudication,2026-04-18T10:27:53Z,2026-04-18T10:27:53Z
stage06_backfill_b001_n50_20260418,stage06_backfill_b001_n50_20260418,386,Autoantibodies to GABA-ergic neurons and pancreatic beta cells in stiff-man syndrome.,33,true,llm_semantic_conflict_manual_review_required,false,32,false,reviewed,"The competing counts are 33 from the abstract ('20 of 33 patients...') and 32 from Methods ('serum samples from 32 patients ... who had been given a diagnosis of stiff-man syndrome'). The likelier extractable count is 32, because one previously described index patient is folded into the broader 33 total and the newly collected diagnosed cohort is 32.",user_manual_adjudication,2026-04-18T10:27:53Z,2026-04-18T10:27:53Z
stage06_backfill_b001_n50_20260418,stage06_backfill_b001_n50_20260418,404,Intravenous immunoglobulin in patients with anti-GAD antibody-associated neurological diseases and patients with inflammatory myopathies: effects on clinicopathological features and immunoregulatory genes.,19,false,llm_manual_review_required,false,16,false,reviewed,"The competing counts are 19 from `SPS (19,20)` and 16 from the abstract/body trial cohort statements. The likelier extractable count is 16, because `SPS (19,20)` reads like an inline citation pair, while `16 patients with anti-GAD antibody-positive SPS` is the explicit trial cohort.",user_manual_adjudication,2026-04-18T10:27:53Z,2026-04-18T10:27:53Z
stage06_backfill_b001_n50_20260418,stage06_backfill_b001_n50_20260418,411,Prevention of an acute severe exacerbation of Stiff-person syndrome during surgery.,1,false,llm_semantic_conflict_manual_review_required,true,1,false,reviewed,This is a single-patient perioperative case report following one woman with established SPS across two surgeries. The likelier count is 1; the old manual-review state came from treating 'suspected an exacerbation of SPS' as cohort uncertainty when it was only describing the same confirmed patient.,user_manual_adjudication,2026-04-18T10:27:53Z,2026-04-18T10:27:53Z
stage06_backfill_b001_n50_20260418,stage06_backfill_b001_n50_20260418,432,"Glutamic acid decarboxylase autoimmunity with brainstem, extrapyramidal, and spinal cord dysfunction.",1,false,llm_manual_review_required,false,16,false,reviewed,"The competing counts are 16 from Table 1 (`Stiff-man phenomena 16 (26)`) and 2 from the narrower subentry `stiff-man syndrome (2)`. The likelier extractable count is 16, because this review is counting the broader SPS-spectrum manifestation row and `26` is the percentage, not a separate patient count.",user_manual_adjudication,2026-04-18T10:27:53Z,2026-04-18T10:27:53Z
stage06_backfill_b003_n50_20260418,stage06_backfill_b003_n50_20260418,456,PET evidence of central GABAergic changes in stiff-person syndrome.,2,true,llm_candidate_exact,true,2,false,reviewed,"The extracted count was 2, and it is the likelier count because the paper reports two SPS subjects with separate PET findings for Subject 1 and Subject 2. The provenance-overlap flag may still matter for reuse, but the extractable SPS-spectrum count itself is 2.",user_manual_adjudication,2026-04-18T22:32:52.3825096Z,2026-04-18T22:32:52.3825096Z
stage06_backfill_b003_n50_20260418,stage06_backfill_b003_n50_20260418,460,"Acute ataxia, Graves' disease, and stiff person syndrome.",1,true,llm_candidate_exact,true,1,false,reviewed,"The extracted count was 1, and it is the likelier count because this is a single-patient case report linking acute ataxia, Graves' disease, and SPS in one woman.",user_manual_adjudication,2026-04-18T22:32:52.3825096Z,2026-04-18T22:32:52.3825096Z
